Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_13_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_13_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	14942	NRAS_2:711-711	2651
chr1:115258764-115258764	14692	NRAS_2:712-712	2651
chr1:115258711-115258711	14617	NRAS_2:765-765	11
chr1:115258710-115258710	14599	NRAS_2:766-766	11
chr3:178936046-178936046	13428	PIK3CA_10:516-516	1
chr3:178936100-178936100	13339	PIK3CA_10:570-570	1620
chr3:178936101-178936101	13339	PIK3CA_10:571-571	1620
chr12:25380358-25380358	23782	KRAS_3:477-477	1
chr12:25380315-25380315	17146	KRAS_3:520-520	3197
chr12:25380314-25380314	17146	KRAS_3:521-521	3198
chr12:25380267-25380267	17257	KRAS_3:568-568	3194
chr12:25380266-25380266	17257	KRAS_3:569-569	3193
chr1:115256556-115256556	23744	NRAS_3:669-669	109
chr1:115256555-115256555	23746	NRAS_3:670-670	109
chr1:115256509-115256509	15607	NRAS_3:716-716	113
chr1:115256508-115256508	15607	NRAS_3:717-717	113
chr17:37880981-37880981	13933	ERBB2_RST:369-369	2962
chr17:37880982-37880982	13932	ERBB2_RST:370-370	2962
chr7:55248997-55248997	12734	EGFR20_RST:382-382	3854
chr7:55248998-55248998	12737	EGFR20_RST:383-383	3854
chr7:55242471-55242471	22779	EGFR19_RST:367-367	3739
chr7:55242472-55242472	22768	EGFR19_RST:368-368	3739
chr7:55241663-55241663	16272	EGFR18_RST:279-279	66
chr7:55241664-55241664	16266	EGFR18_RST:280-280	66
chr7:55241714-55241714	16143	EGFR18_RST:330-330	66
chr7:55241715-55241715	16140	EGFR18_RST:331-331	66
chr15:66729155-66729155	13608	MAP2K1_3:465-465	2378
chr15:66729156-66729156	13607	MAP2K1_3:466-466	2378
chr7:55259454-55259454	17466	EGFR21_RST:277-277	4947
chr7:55259455-55259455	17463	EGFR21_RST:278-278	4947
chr7:55259512-55259512	17385	EGFR21_RST:335-335	4941
chr7:55259513-55259513	17385	EGFR21_RST:336-336	4941
chr7:116411854-116411854	0	MET:476-476	27
chr7:116411855-116411855	0	MET:477-477	27
chr7:116411906-116411906	21298	MET:528-528	3938
chr7:116411907-116411907	21311	MET:529-529	3938
chr7:116411954-116411954	31304	MET:576-576	118
chr7:116411955-116411955	31303	MET:577-577	118
chr7:116412005-116412005	10107	MET:627-627	1575
chr7:116412006-116412006	10104	MET:628-628	1575
chr7:116412071-116412071	10109	MET:693-693	1559
chr7:116412072-116412072	10141	MET:694-694	1559
chr17:7578400-7578400	14772	TP53:549-549	4168
chr17:7578399-7578399	14772	TP53:550-550	4168
chr17:7578200-7578200	20812	TP53:749-749	4673
chr17:7578199-7578199	20812	TP53:750-750	4673
chr17:7577130-7577130	14814	TP53:1819-1819	3705
chr17:7577129-7577129	14814	TP53:1820-1820	3705
chr17:7577080-7577080	14676	TP53:1869-1869	3683
chr17:7577079-7577079	14670	TP53:1870-1870	3682
