Input:
result_Thermo_cfDNA/Nala-128.TagSequencing_21_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-128.TagSequencing_21_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	17578	NRAS_2:711-711	3771
chr1:115258764-115258764	17331	NRAS_2:712-712	3771
chr1:115258711-115258711	17238	NRAS_2:765-765	106
chr1:115258710-115258710	17223	NRAS_2:766-766	105
chr3:178936100-178936100	16483	PIK3CA_10:570-570	1703
chr3:178936101-178936101	16483	PIK3CA_10:571-571	1703
chr12:25380358-25380358	27043	KRAS_3:477-477	1
chr12:25380315-25380315	19995	KRAS_3:520-520	3330
chr12:25380314-25380314	19997	KRAS_3:521-521	3331
chr12:25380267-25380267	20167	KRAS_3:568-568	3333
chr12:25380266-25380266	20167	KRAS_3:569-569	3333
chr1:115256556-115256556	26768	NRAS_3:669-669	98
chr1:115256555-115256555	26771	NRAS_3:670-670	98
chr1:115256509-115256509	18330	NRAS_3:716-716	101
chr1:115256508-115256508	18330	NRAS_3:717-717	101
chr17:37880981-37880981	18258	ERBB2_RST:369-369	3821
chr17:37880982-37880982	18258	ERBB2_RST:370-370	3821
chr7:55248997-55248997	14836	EGFR20_RST:382-382	5145
chr7:55248998-55248998	14837	EGFR20_RST:383-383	5145
chr7:55242471-55242471	27408	EGFR19_RST:367-367	5302
chr7:55242472-55242472	27398	EGFR19_RST:368-368	5302
chr7:55241663-55241663	18095	EGFR18_RST:279-279	173
chr7:55241664-55241664	18091	EGFR18_RST:280-280	173
chr7:55241714-55241714	17945	EGFR18_RST:330-330	174
chr7:55241715-55241715	17944	EGFR18_RST:331-331	174
chr15:66729155-66729155	15622	MAP2K1_3:465-465	2780
chr15:66729156-66729156	15621	MAP2K1_3:466-466	2780
chr7:55259454-55259454	23646	EGFR21_RST:277-277	5715
chr7:55259455-55259455	23643	EGFR21_RST:278-278	5716
chr7:55259512-55259512	23507	EGFR21_RST:335-335	5720
chr7:55259513-55259513	23507	EGFR21_RST:336-336	5720
chr7:116411906-116411906	23710	MET:528-528	4719
chr7:116411907-116411907	23727	MET:529-529	4719
chr7:116411954-116411954	33763	MET:576-576	97
chr7:116411955-116411955	33761	MET:577-577	97
chr7:116412005-116412005	14567	MET:627-627	2727
chr7:116412006-116412006	14565	MET:628-628	2727
chr7:116412071-116412071	14522	MET:693-693	2710
chr7:116412072-116412072	14546	MET:694-694	2710
chr17:7578400-7578400	17193	TP53:549-549	5395
chr17:7578399-7578399	17193	TP53:550-550	5395
chr17:7578200-7578200	24121	TP53:749-749	5830
chr17:7578199-7578199	24121	TP53:750-750	5830
chr17:7577130-7577130	18383	TP53:1819-1819	4118
chr17:7577129-7577129	18383	TP53:1820-1820	4118
chr17:7577080-7577080	18215	TP53:1869-1869	4095
chr17:7577079-7577079	18208	TP53:1870-1870	4094
