Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_16_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_16_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	14444	NRAS_2:711-711	2135
chr1:115258764-115258764	14154	NRAS_2:712-712	2135
chr1:115258711-115258711	14083	NRAS_2:765-765	58
chr1:115258710-115258710	14063	NRAS_2:766-766	57
chr3:178936046-178936046	11977	PIK3CA_10:516-516	1
chr3:178936100-178936100	11896	PIK3CA_10:570-570	1100
chr3:178936101-178936101	11896	PIK3CA_10:571-571	1100
chr12:25380315-25380315	13518	KRAS_3:520-520	2145
chr12:25380314-25380314	13520	KRAS_3:521-521	2145
chr12:25380267-25380267	13634	KRAS_3:568-568	2145
chr12:25380266-25380266	13634	KRAS_3:569-569	2145
chr1:115256556-115256556	25038	NRAS_3:669-669	115
chr1:115256555-115256555	25039	NRAS_3:670-670	115
chr1:115256509-115256509	15096	NRAS_3:716-716	145
chr1:115256508-115256508	15096	NRAS_3:717-717	145
chr17:37880981-37880981	12688	ERBB2_RST:369-369	2349
chr17:37880982-37880982	12687	ERBB2_RST:370-370	2349
chr7:55248997-55248997	11535	EGFR20_RST:382-382	3184
chr7:55248998-55248998	11536	EGFR20_RST:383-383	3184
chr7:55242471-55242471	21040	EGFR19_RST:367-367	3850
chr7:55242472-55242472	21034	EGFR19_RST:368-368	3850
chr7:55241663-55241663	15625	EGFR18_RST:279-279	85
chr7:55241664-55241664	15622	EGFR18_RST:280-280	85
chr7:55241714-55241714	15350	EGFR18_RST:330-330	90
chr7:55241715-55241715	15349	EGFR18_RST:331-331	90
chr15:66729155-66729155	12995	MAP2K1_3:465-465	1710
chr15:66729156-66729156	12992	MAP2K1_3:466-466	1710
chr7:55259454-55259454	15730	EGFR21_RST:277-277	3414
chr7:55259455-55259455	15724	EGFR21_RST:278-278	3414
chr7:55259512-55259512	15619	EGFR21_RST:335-335	3414
chr7:55259513-55259513	15619	EGFR21_RST:336-336	3414
chr7:116411854-116411854	35	MET:476-476	9
chr7:116411855-116411855	35	MET:477-477	9
chr7:116411906-116411906	16776	MET:528-528	3431
chr7:116411907-116411907	16785	MET:529-529	3431
chr7:116411954-116411954	29595	MET:576-576	103
chr7:116411955-116411955	29593	MET:577-577	103
chr7:116412005-116412005	10683	MET:627-627	1452
chr7:116412006-116412006	10679	MET:628-628	1452
chr7:116412071-116412071	10564	MET:693-693	1443
chr7:116412072-116412072	10597	MET:694-694	1443
chr17:7578400-7578400	11903	TP53:549-549	3247
chr17:7578399-7578399	11903	TP53:550-550	3247
chr17:7578200-7578200	15718	TP53:749-749	3675
chr17:7578199-7578199	15718	TP53:750-750	3675
chr17:7578146-7578146	18	TP53:803-803	13
chr17:7578145-7578145	18	TP53:804-804	13
chr17:7577130-7577130	11555	TP53:1819-1819	3176
chr17:7577129-7577129	11555	TP53:1820-1820	3176
chr17:7577080-7577080	11458	TP53:1869-1869	3152
chr17:7577079-7577079	11454	TP53:1870-1870	3152
