Input:
result_Thermo_cfDNA/Nala-128.TagSequencing_22_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-128.TagSequencing_22_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	19789	NRAS_2:711-711	3752
chr1:115258764-115258764	19500	NRAS_2:712-712	3752
chr1:115258711-115258711	19378	NRAS_2:765-765	64
chr1:115258710-115258710	19364	NRAS_2:766-766	63
chr3:178936100-178936100	17060	PIK3CA_10:570-570	2103
chr3:178936101-178936101	17060	PIK3CA_10:571-571	2103
chr12:25380315-25380315	22600	KRAS_3:520-520	3922
chr12:25380314-25380314	22603	KRAS_3:521-521	3922
chr12:25380267-25380267	22776	KRAS_3:568-568	3923
chr12:25380266-25380266	22776	KRAS_3:569-569	3923
chr1:115256556-115256556	29678	NRAS_3:669-669	140
chr1:115256555-115256555	29681	NRAS_3:670-670	140
chr1:115256509-115256509	19977	NRAS_3:716-716	155
chr1:115256508-115256508	19977	NRAS_3:717-717	155
chr17:37880981-37880981	20193	ERBB2_RST:369-369	4210
chr17:37880982-37880982	20191	ERBB2_RST:370-370	4210
chr7:55248997-55248997	16637	EGFR20_RST:382-382	5207
chr7:55248998-55248998	16638	EGFR20_RST:383-383	5207
chr7:55249055-55249055	20525	EGFR20_RST:440-440	11
chr7:55249056-55249056	20524	EGFR20_RST:441-441	11
chr7:55242471-55242471	30466	EGFR19_RST:367-367	5996
chr7:55242472-55242472	30456	EGFR19_RST:368-368	5996
chr7:55241663-55241663	23322	EGFR18_RST:279-279	212
chr7:55241664-55241664	23319	EGFR18_RST:280-280	212
chr7:55241714-55241714	23176	EGFR18_RST:330-330	212
chr7:55241715-55241715	23173	EGFR18_RST:331-331	212
chr15:66729155-66729155	16971	MAP2K1_3:465-465	2840
chr15:66729156-66729156	16971	MAP2K1_3:466-466	2840
chr7:55259454-55259454	26421	EGFR21_RST:277-277	6536
chr7:55259455-55259455	26416	EGFR21_RST:278-278	6536
chr7:55259512-55259512	26246	EGFR21_RST:335-335	6542
chr7:55259513-55259513	26246	EGFR21_RST:336-336	6542
chr7:116411906-116411906	27110	MET:528-528	5592
chr7:116411907-116411907	27127	MET:529-529	5592
chr7:116411954-116411954	39134	MET:576-576	89
chr7:116411955-116411955	39130	MET:577-577	89
chr7:116412005-116412005	17239	MET:627-627	2529
chr7:116412006-116412006	17236	MET:628-628	2529
chr7:116412071-116412071	17155	MET:693-693	2520
chr7:116412072-116412072	17187	MET:694-694	2520
chr17:7578400-7578400	19489	TP53:549-549	5182
chr17:7578399-7578399	19489	TP53:550-550	5182
chr17:7578200-7578200	24329	TP53:749-749	6484
chr17:7578199-7578199	24329	TP53:750-750	6484
chr17:7577130-7577130	21813	TP53:1819-1819	4913
chr17:7577129-7577129	21813	TP53:1820-1820	4914
chr17:7577080-7577080	21614	TP53:1869-1869	4885
chr17:7577079-7577079	21606	TP53:1870-1870	4884
