Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_14_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_14_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	14827	NRAS_2:711-711	2615
chr1:115258764-115258764	14583	NRAS_2:712-712	2615
chr1:115258711-115258711	14521	NRAS_2:765-765	104
chr1:115258710-115258710	14509	NRAS_2:766-766	104
chr3:178936046-178936046	14793	PIK3CA_10:516-516	1
chr3:178936100-178936100	14697	PIK3CA_10:570-570	1281
chr3:178936101-178936101	14697	PIK3CA_10:571-571	1281
chr12:25380358-25380358	24773	KRAS_3:477-477	25
chr12:25380315-25380315	17492	KRAS_3:520-520	3005
chr12:25380314-25380314	17496	KRAS_3:521-521	3005
chr12:25380267-25380267	17642	KRAS_3:568-568	3005
chr12:25380266-25380266	17642	KRAS_3:569-569	3004
chr1:115256556-115256556	26426	NRAS_3:669-669	79
chr1:115256555-115256555	26427	NRAS_3:670-670	79
chr1:115256509-115256509	17632	NRAS_3:716-716	82
chr1:115256508-115256508	17632	NRAS_3:717-717	82
chr17:37880981-37880981	18294	ERBB2_RST:369-369	3325
chr17:37880982-37880982	18294	ERBB2_RST:370-370	3325
chr7:55248997-55248997	14163	EGFR20_RST:382-382	4675
chr7:55248998-55248998	14165	EGFR20_RST:383-383	4675
chr7:55242471-55242471	24740	EGFR19_RST:367-367	4672
chr7:55242472-55242472	24733	EGFR19_RST:368-368	4672
chr7:55241663-55241663	18140	EGFR18_RST:279-279	42
chr7:55241664-55241664	18137	EGFR18_RST:280-280	42
chr7:55241714-55241714	17977	EGFR18_RST:330-330	43
chr7:55241715-55241715	17975	EGFR18_RST:331-331	43
chr15:66729155-66729155	15130	MAP2K1_3:465-465	2176
chr15:66729156-66729156	15129	MAP2K1_3:466-466	2176
chr7:55259454-55259454	20571	EGFR21_RST:277-277	5145
chr7:55259455-55259455	20565	EGFR21_RST:278-278	5145
chr7:55259512-55259512	20438	EGFR21_RST:335-335	5150
chr7:55259513-55259513	20438	EGFR21_RST:336-336	5150
chr7:116411906-116411906	22112	MET:528-528	3829
chr7:116411907-116411907	22122	MET:529-529	3829
chr7:116411954-116411954	32610	MET:576-576	81
chr7:116411955-116411955	32609	MET:577-577	81
chr7:116412005-116412005	12297	MET:627-627	2072
chr7:116412006-116412006	12295	MET:628-628	2072
chr7:116412071-116412071	12252	MET:693-693	2054
chr7:116412072-116412072	12289	MET:694-694	2054
chr17:7578400-7578400	16026	TP53:549-549	4511
chr17:7578399-7578399	16026	TP53:550-550	4511
chr17:7578200-7578200	21554	TP53:749-749	5014
chr17:7578199-7578199	21554	TP53:750-750	5014
chr17:7577130-7577130	16079	TP53:1819-1819	4106
chr17:7577129-7577129	16079	TP53:1820-1820	4106
chr17:7577080-7577080	15975	TP53:1869-1869	4079
chr17:7577079-7577079	15969	TP53:1870-1870	4077
