Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_17_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_17_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	19734	NRAS_2:711-711	3031
chr1:115258764-115258764	19450	NRAS_2:712-712	3031
chr1:115258711-115258711	19371	NRAS_2:765-765	97
chr1:115258710-115258710	19355	NRAS_2:766-766	97
chr3:178936045-178936045	16487	PIK3CA_10:515-515	14
chr3:178936046-178936046	16497	PIK3CA_10:516-516	14
chr3:178936100-178936100	16389	PIK3CA_10:570-570	1600
chr3:178936101-178936101	16389	PIK3CA_10:571-571	1600
chr12:25380315-25380315	23288	KRAS_3:520-520	2558
chr12:25380314-25380314	23291	KRAS_3:521-521	2558
chr12:25380267-25380267	23490	KRAS_3:568-568	2558
chr12:25380266-25380266	23490	KRAS_3:569-569	2558
chr1:115256556-115256556	29599	NRAS_3:669-669	109
chr1:115256555-115256555	29601	NRAS_3:670-670	109
chr1:115256509-115256509	20093	NRAS_3:716-716	119
chr1:115256508-115256508	20093	NRAS_3:717-717	119
chr17:37880981-37880981	18693	ERBB2_RST:369-369	4145
chr17:37880982-37880982	18692	ERBB2_RST:370-370	4145
chr7:55248997-55248997	16350	EGFR20_RST:382-382	4436
chr7:55248998-55248998	16351	EGFR20_RST:383-383	4436
chr7:55242471-55242471	28117	EGFR19_RST:367-367	4958
chr7:55242472-55242472	28106	EGFR19_RST:368-368	4958
chr7:55241663-55241663	20487	EGFR18_RST:279-279	107
chr7:55241664-55241664	20482	EGFR18_RST:280-280	107
chr7:55241714-55241714	20263	EGFR18_RST:330-330	107
chr7:55241715-55241715	20260	EGFR18_RST:331-331	107
chr15:66729155-66729155	17387	MAP2K1_3:465-465	2608
chr15:66729156-66729156	17385	MAP2K1_3:466-466	2608
chr7:55259454-55259454	25038	EGFR21_RST:277-277	5093
chr7:55259455-55259455	25029	EGFR21_RST:278-278	5093
chr7:55259512-55259512	24886	EGFR21_RST:335-335	5102
chr7:55259513-55259513	24886	EGFR21_RST:336-336	5102
chr7:116411906-116411906	25218	MET:528-528	4428
chr7:116411907-116411907	25229	MET:529-529	4428
chr7:116411954-116411954	36208	MET:576-576	66
chr7:116411955-116411955	36208	MET:577-577	66
chr7:116412005-116412005	16790	MET:627-627	1893
chr7:116412006-116412006	16786	MET:628-628	1893
chr7:116412071-116412071	16705	MET:693-693	1880
chr7:116412072-116412072	16739	MET:694-694	1880
chr17:7578508-7578508	16834	TP53:441-441	32
chr17:7578507-7578507	16833	TP53:442-442	32
chr17:7578449-7578449	16608	TP53:500-500	31
chr17:7578448-7578448	16551	TP53:501-501	31
chr17:7578400-7578400	17219	TP53:549-549	4784
chr17:7578399-7578399	17219	TP53:550-550	4784
chr17:7578200-7578200	23896	TP53:749-749	5282
chr17:7578199-7578199	23896	TP53:750-750	5282
chr17:7577130-7577130	19441	TP53:1819-1819	4230
chr17:7577129-7577129	19441	TP53:1820-1820	4230
chr17:7577080-7577080	19274	TP53:1869-1869	4208
chr17:7577079-7577079	19265	TP53:1870-1870	4206
