Input:
result_Thermo_cfDNA/Nala-128.TagSequencing_20_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-128.TagSequencing_20_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	18079	NRAS_2:711-711	3434
chr1:115258764-115258764	17814	NRAS_2:712-712	3434
chr1:115258711-115258711	17756	NRAS_2:765-765	120
chr1:115258710-115258710	17744	NRAS_2:766-766	120
chr3:178936045-178936045	15149	PIK3CA_10:515-515	1
chr3:178936046-178936046	15149	PIK3CA_10:516-516	3
chr3:178936100-178936100	15064	PIK3CA_10:570-570	1944
chr3:178936101-178936101	15064	PIK3CA_10:571-571	1944
chr12:25380358-25380358	29452	KRAS_3:477-477	1
chr12:25380315-25380315	21253	KRAS_3:520-520	2623
chr12:25380314-25380314	21255	KRAS_3:521-521	2624
chr12:25380267-25380267	21379	KRAS_3:568-568	2628
chr12:25380266-25380266	21380	KRAS_3:569-569	2628
chr1:115256556-115256556	27788	NRAS_3:669-669	42
chr1:115256555-115256555	27792	NRAS_3:670-670	42
chr1:115256509-115256509	17972	NRAS_3:716-716	45
chr1:115256508-115256508	17972	NRAS_3:717-717	45
chr17:37880981-37880981	20000	ERBB2_RST:369-369	3784
chr17:37880982-37880982	19999	ERBB2_RST:370-370	3784
chr7:55248997-55248997	15279	EGFR20_RST:382-382	4771
chr7:55248998-55248998	15281	EGFR20_RST:383-383	4771
chr7:55242471-55242471	26566	EGFR19_RST:367-367	4632
chr7:55242472-55242472	26556	EGFR19_RST:368-368	4632
chr7:55241663-55241663	19050	EGFR18_RST:279-279	166
chr7:55241664-55241664	19043	EGFR18_RST:280-280	166
chr7:55241714-55241714	18873	EGFR18_RST:330-330	167
chr7:55241715-55241715	18872	EGFR18_RST:331-331	167
chr15:66729155-66729155	13969	MAP2K1_3:465-465	2604
chr15:66729156-66729156	13968	MAP2K1_3:466-466	2604
chr7:55259454-55259454	21875	EGFR21_RST:277-277	5023
chr7:55259455-55259455	21870	EGFR21_RST:278-278	5023
chr7:55259512-55259512	21747	EGFR21_RST:335-335	5030
chr7:55259513-55259513	21747	EGFR21_RST:336-336	5030
chr7:116411906-116411906	26817	MET:528-528	4706
chr7:116411907-116411907	26839	MET:529-529	4706
chr7:116411954-116411954	38816	MET:576-576	72
chr7:116411955-116411955	38815	MET:577-577	72
chr7:116412005-116412005	13697	MET:627-627	2198
chr7:116412006-116412006	13693	MET:628-628	2198
chr7:116412071-116412071	13672	MET:693-693	2178
chr7:116412072-116412072	13718	MET:694-694	2178
chr17:7578400-7578400	17313	TP53:549-549	4377
chr17:7578399-7578399	17313	TP53:550-550	4377
chr17:7578200-7578200	23842	TP53:749-749	5115
chr17:7578199-7578199	23842	TP53:750-750	5115
chr17:7577130-7577130	18042	TP53:1819-1819	3918
chr17:7577129-7577129	18042	TP53:1820-1820	3918
chr17:7577080-7577080	17866	TP53:1869-1869	3884
chr17:7577079-7577079	17860	TP53:1870-1870	3883
