Input:
result_Thermo_cfDNA/Nala-128.TagSequencing_19_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-128.TagSequencing_19_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	16950	NRAS_2:711-711	2714
chr1:115258764-115258764	16712	NRAS_2:712-712	2714
chr1:115258711-115258711	16607	NRAS_2:765-765	69
chr1:115258710-115258710	16592	NRAS_2:766-766	69
chr3:178936045-178936045	14753	PIK3CA_10:515-515	10
chr3:178936046-178936046	14753	PIK3CA_10:516-516	10
chr3:178936100-178936100	14660	PIK3CA_10:570-570	1507
chr3:178936101-178936101	14660	PIK3CA_10:571-571	1507
chr12:25380358-25380358	27825	KRAS_3:477-477	1
chr12:25380315-25380315	20421	KRAS_3:520-520	2723
chr12:25380314-25380314	20425	KRAS_3:521-521	2723
chr12:25380267-25380267	20537	KRAS_3:568-568	2726
chr12:25380266-25380266	20537	KRAS_3:569-569	2724
chr1:115256556-115256556	26380	NRAS_3:669-669	102
chr1:115256555-115256555	26383	NRAS_3:670-670	102
chr1:115256509-115256509	17242	NRAS_3:716-716	107
chr1:115256508-115256508	17242	NRAS_3:717-717	107
chr17:37880981-37880981	17157	ERBB2_RST:369-369	3348
chr17:37880982-37880982	17157	ERBB2_RST:370-370	3348
chr17:37881039-37881039	0	ERBB2_RST:427-427	11
chr17:37881040-37881040	0	ERBB2_RST:428-428	11
chr7:55248997-55248997	13260	EGFR20_RST:382-382	4246
chr7:55248998-55248998	13261	EGFR20_RST:383-383	4246
chr7:55242471-55242471	25959	EGFR19_RST:367-367	4533
chr7:55242472-55242472	25951	EGFR19_RST:368-368	4533
chr7:55241663-55241663	18512	EGFR18_RST:279-279	140
chr7:55241664-55241664	18506	EGFR18_RST:280-280	140
chr7:55241714-55241714	18333	EGFR18_RST:330-330	141
chr7:55241715-55241715	18333	EGFR18_RST:331-331	141
chr15:66729155-66729155	15509	MAP2K1_3:465-465	2419
chr15:66729156-66729156	15509	MAP2K1_3:466-466	2419
chr7:55259454-55259454	21729	EGFR21_RST:277-277	4924
chr7:55259455-55259455	21728	EGFR21_RST:278-278	4924
chr7:55259512-55259512	21611	EGFR21_RST:335-335	4924
chr7:55259513-55259513	21611	EGFR21_RST:336-336	4924
chr7:116411906-116411906	24195	MET:528-528	4729
chr7:116411907-116411907	24213	MET:529-529	4729
chr7:116411954-116411954	35061	MET:576-576	98
chr7:116411955-116411955	35059	MET:577-577	98
chr7:116412005-116412005	13948	MET:627-627	1610
chr7:116412006-116412006	13945	MET:628-628	1610
chr7:116412071-116412071	13876	MET:693-693	1605
chr7:116412072-116412072	13907	MET:694-694	1605
chr17:7578400-7578400	16829	TP53:549-549	4369
chr17:7578399-7578399	16829	TP53:550-550	4369
chr17:7578200-7578200	22258	TP53:749-749	4804
chr17:7578199-7578199	22258	TP53:750-750	4804
chr17:7578146-7578146	13	TP53:803-803	2
chr17:7578145-7578145	13	TP53:804-804	2
chr17:7577130-7577130	16898	TP53:1819-1819	3508
chr17:7577129-7577129	16898	TP53:1820-1820	3508
chr17:7577080-7577080	16772	TP53:1869-1869	3483
chr17:7577079-7577079	16763	TP53:1870-1870	3483
