Input:
result_Thermo_cfDNA/Nala-127.TagSequencing_18_rawlib.b6.l70_origin_1.bam
result_Thermo_cfDNA/Nala-127.TagSequencing_18_rawlib.b6.l70.sam

Reference region	Reference Count	Spike-in Region	Spike-in Count
chr1:115258765-115258765	18963	NRAS_2:711-711	2741
chr1:115258764-115258764	18766	NRAS_2:712-712	2741
chr1:115258711-115258711	18649	NRAS_2:765-765	76
chr1:115258710-115258710	18630	NRAS_2:766-766	76
chr3:178936100-178936100	16122	PIK3CA_10:570-570	1853
chr3:178936101-178936101	16122	PIK3CA_10:571-571	1853
chr12:25380315-25380315	21053	KRAS_3:520-520	3063
chr12:25380314-25380314	21054	KRAS_3:521-521	3063
chr12:25380267-25380267	21194	KRAS_3:568-568	3065
chr12:25380266-25380266	21194	KRAS_3:569-569	3065
chr1:115256556-115256556	29863	NRAS_3:669-669	133
chr1:115256555-115256555	29866	NRAS_3:670-670	133
chr1:115256509-115256509	21521	NRAS_3:716-716	135
chr1:115256508-115256508	21521	NRAS_3:717-717	135
chr17:37880981-37880981	18542	ERBB2_RST:369-369	3332
chr17:37880982-37880982	18542	ERBB2_RST:370-370	3332
chr7:55248997-55248997	14709	EGFR20_RST:382-382	4166
chr7:55248998-55248998	14710	EGFR20_RST:383-383	4166
chr7:55242471-55242471	28931	EGFR19_RST:367-367	5007
chr7:55242472-55242472	28922	EGFR19_RST:368-368	5007
chr7:55241663-55241663	19330	EGFR18_RST:279-279	132
chr7:55241664-55241664	19323	EGFR18_RST:280-280	132
chr7:55241714-55241714	19154	EGFR18_RST:330-330	132
chr7:55241715-55241715	19153	EGFR18_RST:331-331	132
chr15:66729155-66729155	17496	MAP2K1_3:465-465	2537
chr15:66729156-66729156	17495	MAP2K1_3:466-466	2537
chr7:55259454-55259454	22427	EGFR21_RST:277-277	4461
chr7:55259455-55259455	22426	EGFR21_RST:278-278	4461
chr7:55259512-55259512	22333	EGFR21_RST:335-335	4469
chr7:55259513-55259513	22333	EGFR21_RST:336-336	4469
chr7:116411906-116411906	24687	MET:528-528	4172
chr7:116411907-116411907	24701	MET:529-529	4172
chr7:116411954-116411954	34363	MET:576-576	94
chr7:116411955-116411955	34363	MET:577-577	94
chr7:116412005-116412005	16554	MET:627-627	1953
chr7:116412006-116412006	16553	MET:628-628	1953
chr7:116412071-116412071	16401	MET:693-693	1938
chr7:116412072-116412072	16429	MET:694-694	1938
chr17:7578508-7578508	14417	TP53:441-441	1
chr17:7578507-7578507	14416	TP53:442-442	1
chr17:7578449-7578449	14237	TP53:500-500	1
chr17:7578448-7578448	14222	TP53:501-501	1
chr17:7578400-7578400	16657	TP53:549-549	4830
chr17:7578399-7578399	16657	TP53:550-550	4830
chr17:7578200-7578200	23012	TP53:749-749	4748
chr17:7578199-7578199	23012	TP53:750-750	4748
chr17:7577130-7577130	19833	TP53:1819-1819	3207
chr17:7577129-7577129	19833	TP53:1820-1820	3207
chr17:7577080-7577080	19686	TP53:1869-1869	3181
chr17:7577079-7577079	19684	TP53:1870-1870	3181
